id,repo_id,label,url,message,new_message1,authorEmail,commitDate
1,1,0,https://github.com/junit-team/junit4/commit/1254795902e56eb545e1fe696827924bc5e82b66,"Marcar ThreadGroups creado por FailOnTimeout como grupos de demonios (#1687) <enter> <enter> Marcar ThreadGroup creado por FailOnTimeout como un grupo de demonios. <enter> <enter> Anteriormente, FailOnTimeout destruía ThreadGroup, lo que podía causar condiciones de carrera si otros subprocesos hacían referencia a ThreadGroup. <entrar> <entrar> Correcciones #1652","Marcar ThreadGroups creado por <file_name> como grupos de demonios ( <pr_link> ) <enter> Marcar <iden> creado por <file_name> como un grupo de demonios. <enter> Anteriormente, <file_name> destruía el <iden>, lo que podía provocar condiciones de carrera si otros subprocesos hacían referencia al <iden>. <enter> Correcciones <issue_link>",desarrollador66,2021-01-02T22:09:07Z
27,1,0,https://github.com/junit-team/junit4/commit/435d41f0d45cfdbc1a38e1ad4eb1d5300da533f9,"Utilice el espejo Maven Central de Google <enter> <enter> Estamos usando Maven 3.1.1 que de forma predeterminada usa HTTP en lugar de HTTPS para <enter> resolver artefactos de Maven Central. Maven Central recientemente <enter> suspendió el soporte HTTP. Por lo tanto, la compilación de Travis comenzó <enter> fallando. Al utilizar un espejo HTTPS de Maven Central, la compilación en Travis <enter> funcionará nuevamente. <enter> <enter> Elegí el espejo de Google porque Travis también usa este espejo de forma predeterminada. <enter> No actualicé a una nueva versión de Maven porque no existe una versión <enter> más nueva compatible con Java 5 y debería ser posible compilar JUnit 4 <enter> con Java 5 para que podamos asegurarnos fácilmente de que funciona con Java 5.","Utilice el espejo <iden> <enter> de Google. Estamos utilizando <iden> <version> que, de forma predeterminada, utiliza HTTP en lugar de HTTPS para resolver artefactos de <iden>. <iden> recientemente suspendió el soporte HTTP. Por lo tanto, la compilación de Travis comenzó a fallar. Al utilizar un espejo HTTPS de <iden>, la compilación en Travis funcionará nuevamente. <enter> Elegí el espejo de Google porque Travis también usa este espejo de forma predeterminada. No actualicé a una nueva versión de <iden> porque no hay una versión más nueva compatible con Java 5 y debería ser posible compilar JUnit 4 con Java 5 para que podamos asegurarnos fácilmente de que funciona con Java 5.",desarrollador13,2020-02-07T20:35:25Z
38,1,3,https://github.com/junit-team/junit4/commit/6c5de817e7e0afdd4d09354693535520712595fc,Eliminar referencia a lista de correo obsoleta,Eliminar referencia a lista de correo obsoleta,desarrollador11,2019-11-02T13:05:11Z
56,1,0,https://github.com/junit-team/junit4/commit/467c3f8efe1a87e3029df282e4df60ad98bc4142,"En desuso Assert#assertThat <enter> <enter> El método 'assertThat' se utiliza para escribir afirmaciones con Hamcrest. <enter> Hamcrest es una biblioteca de aserciones independiente y contiene un método propio <enter> 'assertThat' en la clase 'org.hamcrest.MatcherAssert'. Está <enter> disponible tanto en la versión anterior de Hamcrest 1.3 como en la actual <enter> Hamcrest 2.1. Por lo tanto, el equipo de JUnit recomienda utilizar el <enter> 'assertThat' del propio Hamcrest directamente.","En desuso <method_name> <enter> El método <iden> se utiliza para escribir aserciones con Hamcrest. Hamcrest es una biblioteca de aserciones independiente y contiene un método <iden> propio en la clase 'org.hamcrest.MatcherAssert'. Está disponible tanto en la versión antigua de Hamcrest <versión> como en la <versión> actual de Hamcrest. Por lo tanto, el equipo de JUnit recomienda utilizar el propio <iden> de Hamcrest directamente.",desarrollador13,2019-09-26T20:24:47Z
66,1,0,https://github.com/junit-team/junit4/commit/8a367c1b918f02135d333f3cea8b576c20287361,"Revertir 'ExternalResource: declarar después() para lanzar Throwable (#1421)' <enter> <enter> Revertir la confirmación cebbf5e15725b4dc247ac0557f6fa63f475b15af. <enter> Rompe el código que extiende ExternalResource, <enter> anula after() y llama a super.after() en after().","Revertir ' <file_name> : declarar after() para lanzar <iden> ( <pr_link> )' <enter> Revertir la confirmación <otherCommit_link> . Rompe el código que extiende <file_name> , anula after() y llama a super.after() en after().",desarrollador98,2019-04-03T15:20:00Z
68,1,0,https://github.com/junit-team/junit4/commit/37610e67f77db2f238e7fde2c36f1f0d180790b1,ortografía: difícil de manejar,ortografía: difícil de manejar,desarrollador45,2019-01-06T07:22:10Z
73,1,0,https://github.com/junit-team/junit4/commit/b9a1291cd0e72b0ba1babfd330a0148ab3d42b27,ortografía: métodos,ortografía: métodos,desarrollador45,2019-01-06T07:18:51Z
82,1,0,https://github.com/junit-team/junit4/commit/a5e71079e26cfa282a36b1eab806f596bc20a949,ortografía: constructor,ortografía: constructor,desarrollador45,2019-01-06T07:14:14Z
83,1,0,https://github.com/junit-team/junit4/commit/2101dad6cf8fcd94d351f65cf28812ec527d7bf5,ortografía: afirmar,ortografía: afirmar,desarrollador45,2019-01-06T07:12:55
84,1,0,https://github.com/junit-team/junit4/commit/039dbd17447bd7bb5b4d0f7861d87b5c22703832,estilo: eliminar espacio,estilo: eliminar espacio,desarrollador45,2019-01-06T07:00:21Z
85,1,0,https://github.com/junit-team/junit4/commit/6d0fad48ce3a05b32d903d2016c24d276b6e1eb8,Elimine los usos de FrameworkMember como tipo sin formato. (#1596),Elimine los usos de <iden> como tipo sin formato. (<pr_enlace>),desarrollador66,2019-03-14T14:06:32Z
95,1,2,https://github.com/junit-team/junit4/commit/61c3a030440ed9041aafd9e66d1c6c3ebc71440a,ParentRunner.classRules() devuelve una lista modificable (#1578),<method_name> devuelve <iden> modificable ( <pr_link> ),desarrollador98,2018-12-17T17:38:44Z
96,1,0,https://github.com/junit-team/junit4/commit/9b34c4b6e887c6ea8ea78748f9406c83c9118e71,Elimine openjdk6 del canal de Travis por ahora <enter> <enter> Problema relacionado: #1577,Elimine openjdk6 del canal de Travis por ahora <enter> Problema relacionado: <issue_link>,desarrollador11,2018-12-12T09:03:00Z
97,1,3,https://github.com/junit-team/junit4/commit/e22bd95ab7e452245d4844f5e9b05564fe189f68,Cambie los enlaces para que apunten directamente a los repositorios junit4/5,Cambie los enlaces para que apunten directamente a los repositorios junit4/5,desarrollador11,2018-11-25T18:48:18Z
106,1,0,https://github.com/junit-team/junit4/commit/2510a7e82efabfd442b4cddfabe6150b4edf45f2,Avance de actualización de JUnit 5,Avance de la actualización <iden> 5,desarrollador11,2017-09-10T19:00:16Z
108,1,0,https://github.com/junit-team/junit4/commit/aea31f9f1904d7e61ad365d58429647e2625a206,Avance de actualización de JUnit 5,Avance de la actualización <iden> 5,desarrollador11,2017-01-11T18:55:59Z
110,1,0,https://github.com/junit-team/junit4/commit/4d472c8b21a12eba59bf329ec759a7d51ff10c8b,Actualizar el gasto de la campaña,Actualizar el gasto de la campaña,desarrollador11,2017-01-11T18:53:03Z
112,1,3,https://github.com/junit-team/junit4/commit/3bd79f0cb669617dd883db354c3f05ead0fa3d6f,Utilice un nuevo logotipo y enlace al nuevo sitio web,Utilice un nuevo logotipo y enlace al nuevo sitio web,desarrollador11,2016-04-18T19:15:59Z
124,1,0,https://github.com/junit-team/junit4/commit/6fe93c1a2717ce06b252d8a45d7ca020d3dc3fb3,Enlace de preguntas frecuentes inactivo eliminado. <ingresar> <ingresar> Corrección #1248.,Se eliminó el enlace <nombre_archivo> inactivo.  <enter> Reparar <issue_link>.,desarrollador127,2016-03-11T19:46:19Z
131,1,3,https://github.com/junit-team/junit4/commit/78029cd90a5a7be76fc54aa725be94f87f35927e,Publicar desde Travis <enter> <enter> Eliminar 11 <enter> <enter> Omitir firmar <enter> <enter> WIP,Publicar desde Travis <enter> Eliminar 11 <enter> Omitir firmar <enter> WIP,desarrollador11,2018-09-30T18:47:01Z
146,1,0,https://github.com/junit-team/junit4/commit/eb75886b2be7edf709441962bf3272e4319823c5,Agregue pruebas para la serialización de Result.assumptionFailureCount.,Agregar pruebas para la serialización de <nombre_método>,desarrollador23,2018-06-05T15:45:08Z
147,1,0,https://github.com/junit-team/junit4/commit/4f2ed5d7a7bbe77f6c917c6ccc7de303896d1beb,Nombre agregado a la lista de contribuyentes.,Nombre agregado a la lista de contribuyentes.,desarrollador26,2015-11-20T07:21:02Z
